,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-04-24T14:37:14.500+10:00,   0.228E+00,   0.22822
      2,2021-04-24T14:37:14.580+10:00,   0.228E+00,   0.45644
      3,2021-04-24T14:37:14.658+10:00,   0.228E+00,   0.68465
      4,2021-04-24T14:37:14.764+10:00,   0.228E+00,   0.91287
      5,2021-04-24T14:37:14.846+10:00,   0.228E+00,   1.14109
      6,2021-04-24T14:37:14.922+10:00,   0.228E+00,   1.36931
      7,2021-04-24T14:37:15.031+10:00,   0.228E+00,   1.59752
      8,2021-04-24T14:37:15.109+10:00,   0.228E+00,   1.82574
      9,2021-04-24T14:37:15.189+10:00,   0.228E+00,   2.05396
     10,2021-04-24T14:37:15.295+10:00,   0.228E+00,   2.28218
     20,2021-04-24T14:37:16.255+10:00,   0.228E+00,   4.56435
     30,2021-04-24T14:37:17.240+10:00,   0.132E+00,   6.37321
     40,2021-04-24T14:37:18.225+10:00,   0.862E-01,   7.40145
     50,2021-04-24T14:37:19.091+10:00,   0.862E-01,   8.26305
     60,2021-04-24T14:37:19.951+10:00,   0.104E+00,   9.19530
     70,2021-04-24T14:37:20.846+10:00,   0.879E-01,  10.15619
     80,2021-04-24T14:37:21.681+10:00,   0.106E+00,  11.12689
     90,2021-04-24T14:37:22.859+10:00,   0.102E+00,  12.23690
    100,2021-04-24T14:37:23.899+10:00,   0.102E+00,  13.25649
    200,2021-04-24T14:37:33.525+10:00,   0.912E-01,  22.78457
    300,2021-04-24T14:37:43.114+10:00,   0.723E-01,  30.50722
    400,2021-04-24T14:37:52.653+10:00,   0.568E-01,  36.91771
    500,2021-04-24T14:38:02.668+10:00,   0.531E-01,  42.72367
    600,2021-04-24T14:38:11.994+10:00,   0.455E-01,  47.82246
    700,2021-04-24T14:38:20.992+10:00,   0.498E-01,  52.54941
    800,2021-04-24T14:38:30.140+10:00,   0.488E-01,  57.44872
    900,2021-04-24T14:38:39.355+10:00,   0.525E-01,  62.33614
   1000,2021-04-24T14:38:48.335+10:00,   0.605E-01,  67.51977
   1100,2021-04-24T14:38:57.316+10:00,   0.452E-01,  72.64957
   1200,2021-04-24T14:39:06.459+10:00,   0.583E-01,  77.66172
   1300,2021-04-24T14:39:15.748+10:00,   0.431E-01,  82.51933
   1400,2021-04-24T14:39:24.817+10:00,   0.550E-01,  87.55988
   1500,2021-04-24T14:39:33.956+10:00,   0.418E-01,  92.25331
   1600,2021-04-24T14:39:42.904+10:00,   0.507E-01,  97.13644
   1700,2021-04-24T14:39:51.893+10:00,   0.531E-01, 102.21035
   1800,2021-04-24T14:40:00.895+10:00,   0.485E-01, 107.24374
   1900,2021-04-24T14:40:10.178+10:00,   0.471E-01, 112.07462
   2000,2021-04-24T14:40:19.008+10:00,   0.431E-01, 117.08440
   2100,2021-04-24T14:40:28.492+10:00,   0.508E-01, 122.07611
   2200,2021-04-24T14:40:38.835+10:00,   0.411E-01, 127.13259
   2300,2021-04-24T14:40:48.663+10:00,   0.531E-01, 132.23845
   2400,2021-04-24T14:40:58.644+10:00,   0.469E-01, 137.25465
   2500,2021-04-24T14:41:08.015+10:00,   0.448E-01, 142.23579
   2600,2021-04-24T14:41:17.037+10:00,   0.542E-01, 147.46332
   2700,2021-04-24T14:41:26.131+10:00,   0.461E-01, 152.47956
   2800,2021-04-24T14:41:35.176+10:00,   0.532E-01, 157.60968
   2900,2021-04-24T14:41:44.462+10:00,   0.563E-01, 162.73658
   3000,2021-04-24T14:41:53.332+10:00,   0.431E-01, 167.83010
   3100,2021-04-24T14:42:02.265+10:00,   0.545E-01, 172.85679
   3200,2021-04-24T14:42:10.960+10:00,   0.541E-01, 177.87119
   3300,2021-04-24T14:42:19.993+10:00,   0.519E-01, 182.90857
   3400,2021-04-24T14:42:29.207+10:00,   0.497E-01, 187.90182
   3500,2021-04-24T14:42:38.549+10:00,   0.500E-01, 192.94262
   3600,2021-04-24T14:42:47.893+10:00,   0.529E-01, 198.03382
   3700,2021-04-24T14:42:57.341+10:00,   0.510E-01, 203.24803
   3800,2021-04-24T14:43:07.084+10:00,   0.504E-01, 208.46667
   3900,2021-04-24T14:43:16.081+10:00,   0.427E-01, 213.54810
   4000,2021-04-24T14:43:25.091+10:00,   0.525E-01, 218.76559
   4100,2021-04-24T14:43:34.218+10:00,   0.566E-01, 224.00497
   4200,2021-04-24T14:43:43.367+10:00,   0.562E-01, 229.21883
   4300,2021-04-24T14:43:52.446+10:00,   0.525E-01, 234.27136
   4400,2021-04-24T14:44:01.497+10:00,   0.511E-01, 239.26644
   4500,2021-04-24T14:44:10.459+10:00,   0.511E-01, 244.28583
   4600,2021-04-24T14:44:19.404+10:00,   0.450E-01, 248.77455
   4700,2021-04-24T14:44:29.047+10:00,   0.557E-01, 254.06827
   4800,2021-04-24T14:44:38.033+10:00,   0.498E-01, 259.03967
   4900,2021-04-24T14:44:47.157+10:00,   0.493E-01, 263.87467
   5000,2021-04-24T14:44:56.662+10:00,   0.529E-01, 268.81885
   5100,2021-04-24T14:45:06.078+10:00,   0.472E-01, 274.06194
   5200,2021-04-24T14:45:15.291+10:00,   0.463E-01, 279.28443
   5300,2021-04-24T14:45:24.495+10:00,   0.501E-01, 284.63173
   5400,2021-04-24T14:45:34.359+10:00,   0.594E-01, 289.98684
   5500,2021-04-24T14:45:43.574+10:00,   0.541E-01, 295.18386
   5594,2021-04-24T14:45:52.102+10:00,   0.368E-01, 300.00000
